lon;lat;ele;time
37.237939;-3.170966;1884.9;2020-01-26-11-28-20
37.237965;-3.170945;1885.2;2020-01-26-11-28-24
37.237988;-3.170917;1885.6;2020-01-26-11-28-30
37.238004;-3.170886;1886.2;2020-01-26-11-28-32
37.238017;-3.170854;1886.8;2020-01-26-11-28-36
37.238025;-3.170825;1887.3;2020-01-26-11-28-39
37.238028;-3.170793;1887.8;2020-01-26-11-28-43
37.238029;-3.170755;1888.3;2020-01-26-11-28-48
37.238031;-3.170723;1888.8;2020-01-26-11-28-51
37.238032;-3.170684;1889.5;2020-01-26-11-28-55
37.238027;-3.170648;1889.9;2020-01-26-11-28-58
37.238014;-3.17061;1890.1;2020-01-26-11-29-01
37.238003;-3.170577;1890.4;2020-01-26-11-29-04
37.237994;-3.17054;1891.1;2020-01-26-11-29-07
37.237984;-3.170505;1891.6;2020-01-26-11-29-10
37.237975;-3.170471;1892.2;2020-01-26-11-29-13
37.23796;-3.170438;1892.8;2020-01-26-11-29-17
37.23795;-3.170401;1893.6;2020-01-26-11-29-21
37.237941;-3.170368;1894.3;2020-01-26-11-29-25
37.237929;-3.170334;1894.9;2020-01-26-11-29-30
37.237915;-3.170309;1895.3;2020-01-26-11-29-34
37.237897;-3.170276;1896;2020-01-26-11-29-39
37.237885;-3.17025;1896.8;2020-01-26-11-29-44
37.237873;-3.170225;1897.5;2020-01-26-11-29-47
37.237859;-3.1702;1898.4;2020-01-26-11-29-50
37.237846;-3.170169;1899.5;2020-01-26-11-29-53
37.237837;-3.170138;1900.5;2020-01-26-11-29-57
37.237834;-3.170095;1901.6;2020-01-26-11-30-01
37.237833;-3.170059;1902.6;2020-01-26-11-30-05
37.237836;-3.17002;1903.4;2020-01-26-11-30-09
37.237837;-3.169983;1904.3;2020-01-26-11-30-14
37.237836;-3.169941;1905.3;2020-01-26-11-30-19
37.237833;-3.169914;1905.9;2020-01-26-11-30-23
37.237825;-3.16987;1907;2020-01-26-11-30-27
